text,font_size,font-family,font-weight,page-number,x-pos-l,x-pos-r,y-pos-l,page-width,page-height,class,file_name
"Regulation , International Maritime Dangerous Goods Code ( IMDG , Annex 1 ), and AFMAN24-204 _ IP , Preparing ",11.04,Times New Roman,400,2,31.2,553.74,656.74,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
Hazardous Materials for Military Air Shipments . Packaging shall meet â€œ DOT specification or a United Nation ( UN ),11.04,Times New Roman,400,2,31.2,553.49,644.02,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"specification â€ù manufactured in accordance with 49 CFR , Part 178 and the final packages assembled IAW 49 CFR , ",11.04,Times New Roman,400,2,31.2,552.91,631.42,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
Parts 100-185 as applicable . A Competent Authority Approval ( CAA ) shall be acquired from the responsible,11.04,Times New Roman,400,2,31.2,553.13,618.82,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
Associate Administrator or other designated Department official to perform a function requiring prior consent under,11.04,Times New Roman,400,2,31.2,553.07,606.1,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"the Hazardous Material Regulation ( HMR ). Packages ( s ) shall be marked IAW MIL-STD-129 , DoD Standard ",11.04,Times New Roman,400,2,31.2,553.61,593.5,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"Practice , Military Marking for Shipment and Storage . The contractor â€œ shall â€ù affix a completed DD Form 1574 , ",11.04,Times New Roman,400,2,31.2,553.18,580.78,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"Serviceable Tag-Materiel or DD Form 1574-1 , Serviceable Label- Materiel to each unit pack or intermediate ",11.04,Times New Roman,400,2,31.2,553.5,568.18,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
container and prime outer container ( s ). The tag or label will indicate the condition ( s ) of the materiel and to identify,11.04,Times New Roman,400,2,31.2,553.24,555.58,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"the individual article or contents , bundle , container to which they are securely attached . If a symbol is used to ",11.04,Times New Roman,400,2,31.2,553.53,542.86,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"represent the manufacturer or the approval agency certifying compliance with 49 CFR 178 , subparts L and M , the ",11.04,Times New Roman,400,2,31.2,553.34,530.23,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
symbol must be registered with the U . S . Department of Transportation . A copy of the Contractor â€™ s Test Report and,11.04,Times New Roman,400,2,31.2,553.13,517.51,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
signed certification that the package configuration meets both CFR and UN requirements shall be made available to,11.04,Times New Roman,400,2,31.2,553.35,504.91,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"the procuring contract office , as required , prior to acceptance or shipment of any portion of the product IAW Contract ",11.04,Times New Roman,400,2,31.2,553.48,492.31,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
Data Requirements List ( CDRL ) ( Reference AFMC Form 158 ). Safety Data Sheets ( SDS ) are required for known,11.04,Times New Roman,400,2,31.2,553.63,479.59,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"hazardous items and applicable items shown in FED-STD-313 , Tables I and II . The SDS shall have any applicable ",11.04,Times New Roman,400,2,31.2,553.49,466.99,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"identification number , such as National Stock Number or Special Item Number . A copy of the SDS shall be mailed or ",11.04,Times New Roman,400,2,31.2,553.15,454.27,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
e-mailed no later than â€œ FIVE â€ù days prior to contractual delivery of items :,11.04,Times New Roman,400,2,31.2,354.57,441.67,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"SOW for Packaging & Preservation ( Cont .) April 5 , 2014 ",14.04,"Times New Roman,Bold",700,3,31.2,502.29,725.28,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
REUSABLE CONTAINERS,12,"Times New Roman,Bold",700,3,31.2,178.85,694.78,612,792,yes,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
The contractor shall safeguard all received reusable shipping containers that meet the requirements of the AFMC,11.04,Times New Roman,400,3,31.2,553.03,682.06,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
Form 158 and are suitable for return shipment of serviceable assets . The contractor shall dispose of and replace,11.04,Times New Roman,400,3,31.2,553.32,669.34,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
unserviceable containers with new containers that meet requirements of the AFMC Form 158 . Contact the,11.04,Times New Roman,400,3,31.2,553.44,656.74,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
Administering Contracting Office ( ACO ) for disposition and replacement when Long Life Reusable Containers,11.04,Times New Roman,400,3,31.2,553.5,644.02,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
( LLRC ) are receive in an unserviceable condition .,11.04,Times New Roman,400,3,31.2,251.99,631.42,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
REPORTING DISCREPANCIES,12,"Times New Roman,Bold",700,3,31.2,204.85,603.94,612,792,yes,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
The contractor shall use Web Supply Discrepancy Report ( WebSDR ) to submit / reply to an Supply Discrepancy,11.04,Times New Roman,400,3,31.2,553.3,591.22,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"Report ( SDR ), when improperly packed assets are received / shipped in other than the contracted packaging ",11.04,Times New Roman,400,3,31.2,553.1,578.5,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
requirements ( coded data or Special Packaging Instructions ( SPI ) drawings ) from Department of Defense ( DoD ),11.04,Times New Roman,400,3,31.2,553.32,565.9,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
components / or contractor activities .,11.04,Times New Roman,400,3,31.2,191.93,553.18,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
The contractor shall request for a WebSDR account via the following URL :,11.04,Times New Roman,400,3,31.2,553.1,540.58,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
https :// www . transactionservices . dla . mil / daashome,11.04,Times New Roman,400,3,31.2,252.45,527.95,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"( See Defense Logistics Management ( DLM ) 4000.25-M , Volume 2 , Supply Standard and Procedures , Chapter 17 , ",11.04,Times New Roman,400,3,31.2,553.62,501.43,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"Supply Discrepancy Reporting , ",11.04,"Times New Roman,Italic",400,3,31.2,169.1,488.83,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
http :// www2 . dla . mil / j-6 / dlmso / elibrary / manuals / dlm / dlm _ pubs . asp ).,11.04,"Times New Roman,Bold",700,3,31.2,355.15,476.11,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
Exceptions when no damage has occurred are as follows :,12,"Times New Roman,Bold",700,3,31.2,321.78,449.83,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
- Items packaged before the current SPI date .,11.04,Times New Roman,400,3,31.2,232.43,437.11,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
#NAME?,11.04,Times New Roman,400,3,31.2,553.5,424.39,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"Logistics Complex ( ALC ) approves and issues a waiver , deviation number , which would be annotated on the exterior ",11.04,Times New Roman,400,3,31.2,553.2,411.79,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
container on the lower right hand portion of the identification side of the container .,11.04,Times New Roman,400,3,31.2,396.56,399.07,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"- In accordance with Technical Order ( T . O .) 00-85B-3 , How to Package Air Force Spares , the contractor may ",11.04,Times New Roman,400,3,31.2,553.64,386.47,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"substitute the next larger size fast pack , of the type I or type II to ship transportation priorities 1 and 2 shipments as ",11.04,Times New Roman,400,3,31.2,553.41,373.87,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
long as there is no decrease in any of the container dimensions without the requirement of a waiver deviation . T . O .,11.04,Times New Roman,400,3,31.2,553.65,361.15,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"00-85-3 , can be access via the website : http :// www . tinker . af . mil / shared / media / document / AFD-061220-059 . pdf ",11.04,Times New Roman,400,3,31.2,520.14,348.53,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"SOW for Packaging & Preservation ( Cont ) April 5 , 2014 ",14.04,"Times New Roman,Bold",700,4,31.2,502.29,725.28,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
APPLICABLE GOVERNMENT PACKAGING DOCUMENTS,14.04,"Times New Roman,Bold",700,4,31.2,413.62,685.66,612,792,yes,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
NOTE : â€œ UTILIZE THE MOST RECENT POLICY â€ù,14.04,"Times New Roman,Bold",700,4,31.2,349,653.5,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"AFI 24-203 , Preparation and Movement of Air Force Cargo ",14.04,"Times New Roman,Italic",400,4,31.2,370.55,621.58,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"AFMAN 24-204 _ IP , Preparing Hazardous Materials for Military Air Shipments ",14.04,"Times New Roman,Italic",400,4,31.2,483.42,589.3,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"AFMCI 24-201 , AFMC Packaging and Materials , Handling Policies and Procedures ",14.04,"Times New Roman,Italic",400,4,31.2,510.43,557.14,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"DLMS 4000.25-M , Defense Logistics Management Systems ( DLMS ), Volume 2 , Supply ",14.04,Times New Roman,400,4,31.2,529.95,524.95,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"Standards and Procedures , Chapter 17 , Supply Discrepancy Reporting ",14.04,"Times New Roman,Italic",400,4,31.2,431.74,508.87,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"DoD 4140.01-M-1 , Compliance for Defense Packaging : Phytosanitary Requirements for ",14.04,"Times New Roman,Italic",400,4,31.2,553.29,476.59,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
Wood Packaging Material ( WPM ),14.04,"Times New Roman,Italic",400,4,31.2,224.19,460.51,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"DOT Title 29 , Occupational Safety and Health Administration , Labor ",14.04,"Times New Roman,Italic",400,4,31.2,422.97,428.35,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"DOT Title 49 , Code of Federal Regulations ( 49 CFR ), Transportation ",14.04,Times New Roman,400,4,31.2,425.26,396.19,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
International Civil Aviation Organization ( ICAO ) Technical Instructions,14.04,"Times New Roman,Italic",400,4,31.2,441.17,363.91,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
International Air Transport Association ( IATA ) Dangerous Goods Regulation,14.04,"Times New Roman,Italic",400,4,31.2,471.84,331.73,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
International Maritime Dangerous Goods ( IMDG ) Code,14.04,"Times New Roman,Italic",400,4,31.2,349.83,299.57,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"ISPM No . 15 , International Standard Phytosanitary Measure ",14.04,Times New Roman,400,4,31.2,373.46,267.29,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"Note : Marking Requirements can be found in the American standards committee , ",14.04,Times New Roman,400,4,31.2,553.05,251.21,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"incorporated wood packaging material enforcement regulations dated November 11 , 2005 ",14.04,Times New Roman,400,4,31.2,552.97,235.13,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
and IPSM 15 No . 15 .,14.04,Times New Roman,400,4,31.2,150.3,219.05,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"MIL-STD-2073-1 , Standard Practice , for Military Packaging ",14.04,"Times New Roman,Italic",400,4,31.2,377.73,186.77,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
"MIL-STD-129 , Department of Defense Standard Practice Military Marking for Shipment ",14.04,"Times New Roman,Italic",400,4,31.2,532.56,154.58,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
and Storage,14.04,"Times New Roman,Italic",400,4,31.2,99.31,138.14,612,792,no,efa24f08799159becd243b16579b4b6b70414ae0.file.pdf.tetml
N00253-14-T-0410,9.96,Times New Roman,400,2,461.71,540.16,747,612,792,no,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
2,9.96,Times New Roman,400,2,520.06,540.16,735.48,612,792,no,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
Page 2 of 3,9.96,Times New Roman,400,2,494.86,540.16,723.96,612,792,no,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
SECTION SF 30 BLOCK 14 CONTINUATION PAGE,9.96,Times New Roman,400,2,72.02,296.2,701.02,612,792,yes,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
SUMMARY OF CHANGES,9.96,"Times New Roman,Bold",700,2,72.02,193.54,677.74,612,792,yes,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
SECTION SF 1449 - CONTINUATION SHEET,9.96,Times New Roman,400,2,72.02,268.37,643.54,612,792,yes,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
SOLICITATION / CONTRACT FORM,9.96,Times New Roman,400,2,72.02,228.89,620.5,612,792,yes,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
The required response date / time has changed from 12-Aug-2014 02:00 PM to 17-Aug-2014 02:00 PM .,9.96,Times New Roman,400,2,111.98,524.31,608.98,612,792,no,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
SUPPLIES OR SERVICES AND PRICES,9.96,Times New Roman,400,2,72.02,243.5,585.94,612,792,yes,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
CLIN 0001,9.96,Times New Roman,400,2,92.18,137.91,539.98,612,792,yes,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
The CLIN extended description has changed from Item Name : Microcircuit Mfr : XilinxPN :,9.96,Times New Roman,400,2,111.98,479.04,528.43,612,792,no,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
XC4044XLA-09HZ240I ( BRAND NAME OR EQUAL - IF EQUAL PLEASE PROVIDE MANUFACTURER,9.96,Times New Roman,400,2,72.02,520.73,516.91,612,792,no,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
"AND SPECIFICATION ) Salient Characteristics : FPGA , 1600 CLBS , 27000 GATES , 227 MHz , PQFP240Note : ",9.96,Times New Roman,400,2,72.02,517.71,505.51,612,792,no,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
Vendor to provide Counterfeit Testing Report IAW Contract Data Requirement List ( CDRL is an attachment to the,9.96,Times New Roman,400,2,72.02,533.06,493.99,612,792,no,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
RFQ ). Report shall be delivered no later 30 days after conclusion of testing . Note : Vendor to provide Certificate of,9.96,Times New Roman,400,2,72.02,533.71,482.47,612,792,no,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
ConformanceNote : Allow 30 days of Inspection and Acceptance at Destination NUWC Keyport WANote : There,9.96,Times New Roman,400,2,72.02,526.48,470.95,612,792,no,eec79c4f8386b5b974029635167d8c93df58d72e.file.pdf.tetml
